id,name,price,inventory
1,"American Financial Group, Inc.",7388,158
2,"BioLife Solutions, Inc.",2957,46431
3,"Barnes & Noble, Inc.",3706,04787
4,Ultragenyx Pharmaceutical Inc.,731,26579
5,Regions Financial Corporation,2948,70
6,"Newpark Resources, Inc.",3766,9199
7,"Telephone and Data Systems, Inc.",1276,442
8,Orthofix International N.V.,6789,83858
9,"Inter Parfums, Inc.",9950,26
10,Enzymotec Ltd.,9796,5340
11,Texas Instruments Incorporated,8281,29741
12,"America Movil, S.A.B. de C.V.",2259,959
13,Fidelity and Guaranty Life,5829,4687
14,Western Asset Global High Income Fund Inc,6162,486
15,iPath US Treasury 2-year Bear ETN,3427,07819
16,LPL Financial Holdings Inc.,7822,08
17,"O'Reilly Automotive, Inc.",3423,71289
18,The Obesity ETF,7955,3
19,"Everspin Technologies, Inc.",1747,8074
20,"Mirati Therapeutics, Inc.",5136,669
21,KB Financial Group Inc,3401,544
22,Check Point Software Technologies Ltd.,4889,03720
23,"Sunesis Pharmaceuticals, Inc.",9187,44
24,U.S. Bancorp,5512,7
25,CHS Inc,6941,4
26,Cheetah Mobile Inc.,8625,29099
27,"Prosperity Bancshares, Inc.",9189,47996
28,Wipro Limited,3462,681
29,Monroe Capital Corporation,966,6457
30,The Medicines Company,277,55124
31,Huntington Bancshares Incorporated,1041,3680
32,"Sunstone Hotel Investors, Inc.",2092,8962
33,Guggenheim Taxable Municipal Managed Duration Trst,7349,975
34,STMicroelectronics N.V.,1740,1174
35,"Intrepid Potash, Inc",1269,2174
36,Global Medical REIT Inc.,1384,71
37,Public Storage,9473,29
38,Travelzoo,1869,8858
39,PCSB Financial Corporation,4907,9946
40,Lincoln Educational Services Corporation,212,3
41,Huntsman Corporation,6528,52
42,Huron Consulting Group Inc.,9552,8
43,"DHT Holdings, Inc.",984,6
44,"Valhi, Inc.",9402,4
45,VictoryShares International Volatility Wtd ETF,1937,01
46,"Ultra Clean Holdings, Inc.",7658,74231
47,"SK Telecom Co., Ltd.",2785,4999
48,Lonestar Resources US Inc.,6573,0237
49,Ternium S.A.,6177,66
50,Lehman ABS Corporation,1852,91
51,Gabelli Global Small and Mid Cap Value Trust (The),1315,80
52,"Gaming and Leisure Properties, Inc.",9280,193
53,Teekay Offshore Partners L.P.,6896,08474
54,"Eldorado Resorts, Inc.",8319,74276
